R_0 R_1 R_2 Class
16.0000 19.2000 0.0000 0
18.2000 19.2100 0.0000 0
20.4000 19.2200 0.0000 0
22.6000 19.2300 0.0000 0
24.8000 19.2400 0.0000 0
27.0000 19.2500 0.0000 0
29.2000 19.2600 0.0000 0
31.4000 19.2700 0.0000 0
33.6000 19.2800 0.0000 0
35.8000 19.2900 0.0000 0
38.0000 19.3000 0.0000 0
40.5000 19.3100 0.0000 0
43.0000 19.3200 0.0000 0
45.5000 19.3300 0.0000 0
48.0000 19.3400 0.0000 0
50.5000 19.3500 0.0000 0
53.0000 19.3600 0.0000 0
55.5000 19.3700 0.0000 0
58.0000 19.3800 0.0000 0
60.5000 19.3900 0.0000 0
63.0000 19.4000 0.0000 0
65.2000 19.3900 0.0000 0
67.4000 19.3800 0.0000 0
69.6000 19.3700 0.0000 0
71.8000 19.3600 0.0000 0
74.0000 19.3500 0.0000 0
76.2000 19.3400 0.0000 0
78.4000 19.3300 0.0000 0
80.6000 19.3200 0.0000 0
82.8000 19.3100 0.0000 0
85.0000 19.3000 0.0000 0
86.1000 19.3300 0.0000 0
87.2000 19.3600 0.0000 0
88.3000 19.3900 0.0000 0
89.4000 19.4200 0.0000 0
90.5000 19.4500 0.0000 0
91.6000 19.4800 0.0000 0
92.7000 19.5100 0.0000 0
93.8000 19.5400 0.0000 0
94.9000 19.5700 0.0000 0
96.0000 19.6000 0.0000 0
96.2000 19.6200 0.0000 0
96.4000 19.6400 0.0000 0
96.6000 19.6600 0.0000 0
96.8000 19.6800 0.0000 0
97.0000 19.7000 0.0000 0
97.2000 19.7200 0.0000 0
97.4000 19.7400 0.0000 0
97.6000 19.7600 0.0000 0
97.8000 19.7800 0.0000 0
98.0000 19.8000 0.0000 0
98.8000 19.8400 0.0000 0
99.6000 19.8800 0.0000 0
100.4000 19.9200 0.0000 0
101.2000 19.9600 0.0000 0
102.0000 20.0000 0.0000 0
102.8000 20.0400 0.0000 0
103.6000 20.0800 0.0000 0
104.4000 20.1200 0.0000 0
105.2000 20.1600 0.0000 0
106.0000 20.2000 0.0000 0
108.5000 20.2300 0.0000 0
111.0000 20.2600 0.0000 0
113.5000 20.2900 0.0000 0
116.0000 20.3200 0.0000 0
118.5000 20.3500 0.0000 0
121.0000 20.3800 0.0000 0
123.5000 20.4100 0.0000 0
126.0000 20.4400 0.0000 0
128.5000 20.4700 0.0000 0
131.0000 20.5000 0.0000 0
134.0000 20.5300 0.0000 0
137.0000 20.5600 0.0000 0
140.0000 20.5900 0.0000 0
143.0000 20.6200 0.0000 0
146.0000 20.6500 0.0000 0
149.0000 20.6800 0.0000 0
152.0000 20.7100 0.0000 0
155.0000 20.7400 0.0000 0
158.0000 20.7700 0.0000 0
161.0000 20.8000 0.0000 0
164.9000 20.8300 0.0000 0
168.8000 20.8600 0.0000 0
172.7000 20.8900 0.0000 0
176.6000 20.9200 0.0000 0
180.5000 20.9500 0.0000 0
184.4000 20.9800 0.0000 0
188.3000 21.0100 0.0000 0
192.2000 21.0400 0.0000 0
